Unnamed: 0,original,normalized,prediction
666,"Eo thề ,em lướt vội mà em tưởng chị khum đó   , xin lỗi vì sợ vô tri này nhưng mà cho em há há đã","Eo thề ,em lướt vội mà em tưởng chị không đó   , xin lỗi vì sự vô tri này nhưng mà cho em há há đã","Eo thề ,em lướt vội mà em tưởng chị không đó , xin lỗi vì sợ vô tri này nhưng mà cho em há há đã"
667,"hồi c1 hay c2 t học thêm anh văn cũm có đề như này xong t vt về nhỏ ""bạn thân"" thiệc nè","hồi c1 hay c2 tôi học thêm anh văn cũng có đề như này xong tôi viết về nhỏ ""bạn thân"" thiệt nè","hồi chị 1 hay chị 2 tôi học thêm anh văn cũng có đề như này xong tôi viết về nhỏ ""bạn thân"" thiệt nè"
668,Ko ăn được thì né luôn đi,Không ăn được thì né luôn đi,Ko ăn được thì né luôn đi
669,"Còn lên cả bản tin tv, t còn nói con nít giờ ghê vậy, nghĩ ra được trò này luôn","Còn lên cả bản tin tv, tôi còn nói con nít giờ ghê vậy, nghĩ ra được trò này luôn","Còn lên cả bản tin tv, tôi còn nói con nít giờ ghê vậy, nghĩ ra được trò này luôn"
670,các mẹ iu của mthu với,các mẹ yêu của mthu với,các mẹ yêu của mthu với
671,Tối nay ông tài xế sẽ đem luật sư qua nhà ad và live tream khóc lóc coi ai lòi trỹ,Tối nay ông tài xế sẽ đem luật sư qua nhà ad và live tream khóc lóc coi ai lòi trĩ,Tối nay ông tài xế sẽ đem luật sư qua nhà ad và live tream khóc lóc coi ai lòi trĩ
672,vừa phẻi thoi để chú còn thở,vừa phải thôi để chú còn thở,vừa phải thôi để chú còn thở
673,t có ny rồi ae,tôi có người yêu rồi anh em,tôi có người yêu rồi ae
674,chỉ muốn bít zay thui,chỉ muốn biết vậy thôi,chỉ muốn bít vậy thôi
675,khéo ít nữa đi qsu đợt 2 được khuyến mãi bạn này nhở :))),khéo ít nữa đi quân sự đợt 2 được khuyến mãi bạn này nhỉ :))),khéo ít nữa đi quận sự đợt 2 được khuyến mãi bạn này nhé
676,Hs mình thích mấy túi kiểu này lắm,Học sinh mình thích mấy túi kiểu này lắm,Hs mình thích mấy túi kiểu này lắm
677,"Ờ cứ nằm như này được sinh nhật to, cái đứa quét nhà rửa bát thì chả bao h được tổ chức","Ờ cứ nằm như này được sinh nhật to, cái đứa quét nhà rửa bát thì chả bao giờ được tổ chức","Ờ cứ nằm như này được sinh nhật to, cái đứa quét nhà rửa bát thì chả bao giờ được tổ chức"
678,ny m chưa ra đời đâu,người yêu mày chưa ra đời đâu,người yêu mày chưa ra đời đâu
679,"thà vậy, bao nguyên phòng muốn làm j làm, nói chuyện ồn cũng đc, sợ mấy ng mất lịch sự, bjk mình ko bjk ng ta","thà vậy, bao nguyên phòng muốn làm gì làm, nói chuyện ồn cũng được, sợ mấy người mất lịch sự, biết mình không biết người ta","thà vậy, bao nguyên phòng muốn làm gì làm, nói chuyện ồn cũng được, sợ mấy người mất lịch sự, bjk mình không bjk người ta"
680,"Hồi nhỏ sốt, bà má đem cái nhiệt kế ra chọt zô nách kèm thêm 1 câu, lỡ có bể thì xách đít mà chạy ra xa nhen con, nghe muốn hết sốt","Hồi nhỏ sốt, bà má đem cái nhiệt kế ra chọt vô nách kèm thêm 1 câu, lỡ có bể thì xách đít mà chạy ra xa nhen con, nghe muốn hết sốt","Hồi nhỏ sốt, bà má đem cái nhiệt kế ra chọt vô nách kèm thêm 1 câu, lỡ có bể thì xách đít mà chạy ra xa nhen con, nghe muốn hết sốt"
681,Chơi 77 49 lần ko qua màn 2....tứkkkk,Chơi 77 49 lần không qua màn 2....tức,Chơi 77 49 lần ko qua màn 2....tứkkkk
682,May quá cũng hướng nội nhưng trong vai ng mượn tiền,May quá cũng hướng nội nhưng trong vai người mượn tiền,May quá cũng hướng nội nhưng trong vai người mượn tiền
683,Mình cũng giải thích với ny mình 2 tiếng đồng hồ,Mình cũng giải thích với người yêu mình 2 tiếng đồng hồ,Mình cũng giải thích với người yêu mình 2 tiếng đồng hồ
684,iu anh đi anh không đòi quà,yêu anh đi anh không đòi quà,yêu anh đi anh không đòi quà
685,Làm t tưởng tượng đến cảnh ck t mặc legging =))) chân dài phải biết,Làm tôi tưởng tượng đến cảnh chồng tôi mặc legging =))) chân dài phải biết,Làm tôi tưởng tượng đến cảnh chồng tôi mặc legging =))) chân dài phải biết
686,Mình củm thíc những người tử tế,Mình cũng thích những người tử tế,Mình cũng thích những người tử tế
687,đọc xong het dám thức khuya,đọc xong hết dám thức khuya,đọc xong hết dám thức khuya
688,"Thực tế đấy, dành cho các bạn cgai, tình yêu thì mơ mộng được còn hôn nhân gia đình thì phải nhìn thực tế","Thực tế đấy, dành cho các bạn con gái, tình yêu thì mơ mộng được còn hôn nhân gia đình thì phải nhìn thực tế","Thực tế đấy, dành cho các bạn gái, tình yêu thì mơ mộng được còn hôn nhân gia đình thì phải nhìn thực tế"
689,làm cho mn trầm trồ,làm cho mọi người trầm trồ,làm cho mọi người trầm trồ
690,"Đừng bới bới như Gà thế E ạ, hãy tia miếng nào rồi gắp","Đừng bới bới như Gà thế em ạ, hãy tia miếng nào rồi gắp","Đừng bới bới như Gà thế E ạ, hãy tia miếng nào rồi gắp"
691,K đẹp bằng họ chơ em khẳng định sau khi lấy gấy là nhông em đẹp hơn thật á chơ đùa,Không đẹp bằng họ chứ em khẳng định sau khi lấy ráy là trông em đẹp hơn thật á chứ đùa,K đẹp bằng họ chị em khẳng định sau khi lấy rồi là nhông em đẹp hơn thật á chị đùa
692,Bớt làm trò hề đy mắ:),Bớt làm trò hề đi má:),Bớt làm trò hề đi mẹ:)
693,Thôi còn hơn a ấy đi date với bạn nhưng a ấy để hình bạn gái a ấy làm hình nền đt,Thôi còn hơn anh ấy đi date với bạn nhưng anh ấy để hình bạn gái anh ấy làm hình nền điện thoại,Thôi còn hơn anh ấy đi date với bạn nhưng anh ấy để hình bạn gái anh ấy làm hình nền điện thoại
694,Chưa biết tn đã lao vào đánh người thế thật ko chấp nhận đc,Chưa biết thế nào đã lao vào đánh người thế thật không chấp nhận được,Chưa biết tn đã lao vào đánh người thế thật không chấp nhận được
695,Mk cũng có quần này mà mặc vs áo croptop ms đẹp,Mình cũng có quần này mà mặc với áo croptop mới đẹp,Mình cũng có quần này mà mặc với áo croptop mới đẹp
696,"có loại ko phải thả vào phần nước phía sau mà là thả thẳng vào bồn cầu chờ 2 tiếng r xả trôi á, cái đó sạch cặn vàng thật nhe, sạch bất ngờ","có loại không phải thả vào phần nước phía sau mà là thả thẳng vào bồn cầu chờ 2 tiếng rồi xả trôi á, cái đó sạch cặn vàng thật nhe, sạch bất ngờ","có loại không phải thả vào phần nước phía sau mà là thả thẳng vào bồn cầu chờ 2 tiếng rồi xả trôi á, cái đó sạch cặn vàng thật nhe, sạch bất ngờ"
697,Pay xuống gầm giường trốn thôiiiii,Bay xuống gầm giường trốn thôi,Pay xuống gầm giường trốn thôi
698,"Hình ảnh t đâu đó, trong h thi mn làm bài t ngồi móc gương ra kẻ mắt :))","Hình ảnh tôi đâu đó, trong giờ thi mọi người làm bài tôi ngồi móc gương ra kẻ mắt :))","Hình ảnh tôi đâu đó, trong giờ thi mọi người làm bài tôi ngồi móc gương ra kẻ mắt"
699,phải tn của m ko cháu,phải tin nhắn của m không cháu,phải tin nhắn của mày không cháu
700,tui đọc truyện chữa lành y chang z nè,tui đọc truyện chữa lành y chang vậy nè,tui đọc truyện chữa lành ý chồng vậy nè
701,công ziệc bộn bề quá dô cho có cảm giác gảnk nè,công việc bộn bề quá vô cho có cảm giác rản nè,công việc bộn bề quá vô cho có cảm giác gản nè
702,Cố nhịn mà không đc,Cố nhịn mà không được,Cố nhịn mà không được
703,"Cũng k giao tiếp với ai , giao tiếp vs AI , k lướt mạng , k hobbie , thỉnh thoảng đi bộ ","Cũng không giao tiếp với ai , giao tiếp với AI , không lướt mạng , không hobbie , thỉnh thoảng đi bộ","Cũng không giao tiếp với ai , giao tiếp với AI , không lướt mạng , không hobbie , thỉnh thoảng đi bộ"
704,bóng dáng ai đó nhẹ nhàg vụt qua nơi đây,bóng dáng ai đó nhẹ nhàng vụt qua nơi đây,bóng dáng ai đó nhẹ nhàg vụt qua nơi đây
705,Này ms gọi là hào quang rực rỡ chữ nhảy,Này mới gọi là hào quang rực rỡ chứ nhỉ,Này mình gọi là hào quang rực rỡ chữ nhảy
706,:))) Hồi sv đợt đang bán hàng mấy má đó vô truyền đạo Chúa trời gì đó cho t.,:))) Hồi sinh viên đợt đang bán hàng mấy má đó vô truyền đạo Chúa trời gì đó cho tôi.,Hồi sv đợt đang bán hàng mấy má đó vô truyền đạo Chúa trời gì đó cho tôi.
707,hic đúng rùi hok kể mấy lần do mình lơ đãng tự gây hoạ thì ra đường mình cũm gặp nhìu ng tốt lắm hok hỉu sao tốt vs tin ng dữ v lun đó!,hic đúng rồi không kể mấy lần do mình lơ đãng tự gây hoạ thì ra đường mình cũng gặp nhiều người tốt lắm không hiểu sao tốt với tin người dữ vậy luôn đó!,hic đúng rồi không kể mấy lần do mình lơ đãng tự gây hoạ thì ra đường mình cũng gặp nhiều người tốt lắm không hiểu sao tốt vs tin người dữ vậy luôn đó!
708,"hồi xưa mỗi đứa làm ra mỗi kq, rồi mỗi đứa trong đám trình bày ý làm rồi đứa nào cũng sai","hồi xưa mỗi đứa làm ra mỗi kết quả, rồi mỗi đứa trong đám trình bày ý làm rồi đứa nào cũng sai","hồi xưa mỗi đứa làm ra mỗi kq, rồi mỗi đứa trong đám trình bày ý làm rồi đứa nào cũng sai"
709,"Rồi nhà có 2 em bé nghe ko,t chuẩn bị ăn nhiều hơn con nhá, cứ chuẩn bị tinh thần","Rồi nhà có 2 em bé nghe không,tôi chuẩn bị ăn nhiều hơn con nhá, cứ chuẩn bị tinh thần","Rồi nhà có 2 em bé nghe không,t chuẩn bị ăn nhiều hơn con nhá, cứ chuẩn bị tinh thần"
710,Sao hay ra zẻ qá,Sao hay ra vẻ quá,Sao hay ra vậy quá
711,Càng ngày càng dô tri :))),Càng ngày càng vô tri :))),Càng ngày càng vô tri
712,Ghét của nao trời cho của nấy đó nha,Ghét của nào trời cho của nấy đó nha,Ghét của nào trời cho của nấy đó nha
713,roi có kêu xe về ko hay đi bộ kk.,rồi có kêu xe về không hay đi bộ kk.,rồi có kêu xe về không hay đi bộ không.
714,"Tài xế đuổi xuống là lúc ko có lơ xe ở đó rồi, có ông lơ xe ở đó có khi ông lại rụng hết hàng bắp :))","Tài xế đuổi xuống là lúc không có lơ xe ở đó rồi, có ông lơ xe ở đó có khi ông lại rụng hết hàng bắp :))","Tài xế đuổi xuống là lúc không có lơ xe ở đó rồi, có ông lơ xe ở đó có khi ông lại rụng hết hàng bắp"
715,má voice nhiều hơn tn hay s á tính zoom ra đọc mà thấy đa số là voice k,má voice nhiều hơn tin nhắn hay sao á tính zoom ra đọc mà thấy đa số là voice không,má voice nhiều hơn tn hay sao tính zoom ra đọc mà thấy đa số là voice không
716,Hẹn b kiếp sau chứ kiếp này b hãm quá cơ,Hẹn bạn kiếp sau chứ kiếp này bạn hãm quá cơ,Hẹn bạn kiếp sau chứ kiếp này b hãm quá cơ
717,Từ lúc lấy vk e thấy a đẹp hơn trước ý  ạ,Từ lúc lấy vợ em thấy anh đẹp hơn trước ý ạ,Từ lúc lấy vợ em thấy anh đẹp hơn trước ý ạ
718,Kiểm tra ko làm đc bài cx ko lo,Kiểm tra không làm được bài cũng không lo,Kiểm tra ko làm được bài cũng ko lo
719,với t con gái cứ phải là đầy đặn có da có thịt mới thích ngực k cần to nhưng mông má ổn là đc,với tôi con gái cứ phải là đầy đặn có da có thịt mới thích ngực không cần to nhưng mông má ổn là được,với tôi con gái cứ phải là đầy đặn có da có thịt mới thích ngực không cần to nhưng mông má ổn là được
720,nên zô hong chị tại cả ưu và nhược em đều có :))),nên vô không chị tại cả ưu và nhược em đều có :))),nên vô hồng chị tại cả ưu và nhược em đều có
721,Gòi mày yếu đuối chưa,Rồi mày yếu đuối chưa,Rồi mày yếu đuối chưa
722,Có cái địa chỉ qtrg nhất thỳ làm mờ.,Có cái địa chỉ quan trọng nhất thì làm mờ.,Có cái địa chỉ quan trọng nhất thì làm mờ.
723,Ăn đc đó nhưng ải chỉa nha,Ăn được đó nhưng ỉa chảy nha,Ăn được đó nhưng ải chỉa nha
724,Dương Mịch nhìn xưa trong trẻo qaaaaa,Dương Mịch nhìn xưa trong trẻo qúa,Dương Mịch nhìn xưa trong trẻo quá
725,Thôi đàm phán vs ông ý đẻ thêm 2 đứa nữa chia cho công bằng,Thôi đàm phán với ông ấy đẻ thêm 2 đứa nữa chia cho công bằng,Thôi đàm phán với ông ý đẻ thêm 2 đứa nữa chia cho công bằng
726,Bởi cái tánh dễ mất tập trung và cuốn theo những câu chuyện phi lý nên ko bh ra quán cafe làm việc hay học bài,Bởi cái tánh dễ mất tập trung và cuốn theo những câu chuyện phi lý nên không bao giờ ra quán cafe làm việc hay học bài,Bởi cái tính dễ mất tập trung và cuốn theo những câu chuyện phi lý nên không bao giờ ra quán cafe làm việc hay học bài
727,T định lưu lại nhưng đ' biết bh ms dùng tới nên thôi,Tôi định lưu lại nhưng đéo biết bao giờ mới dùng tới nên thôi,Tôi định lưu lại nhưng đ' biết bh mình dùng tới nên thôi
728,nhiều lúc cx thấy tốn:)),nhiều lúc cũng thấy tốn:)),nhiều lúc cũng thấy tốn:))
729,mỗi lần trực cờ đỏ bên khối 12 rất chán vì mấy a cj chăm quá ko có ra ngoài nhìu cx hog vi phạm cho mik bắt nữa,mỗi lần trực cờ đỏ bên khối 12 rất chán vì mấy anh chị chăm quá không có ra ngoài nhiều cũng không vi phạm cho mình bắt nữa,mỗi lần trực cờ đỏ bên khối 12 rất chán vì mấy anh chị chăm quá không có ra ngoài nhiều cũng không vi phạm cho mình bắt nữa
730,hai chị e cũng ko hết nổi bịch này,hai chị em cũng không hết nổi bịch này,hai chị em cũng không hết nổi bịch này
